R, км||V, км/с||Tet, рад||I, рад||Omega, рад||U, рад||T, с
 8460.092, км||    3.997, км/с||   -0.051, рад||    0.017, рад||    0.523, рад||    0.026, рад||   55.000, с
 8459.888, км||    3.997, км/с||   -0.052, рад||    0.017, рад||    0.523, рад||    0.026, рад||   56.000, с
 8459.679, км||    3.998, км/с||   -0.053, рад||    0.017, рад||    0.523, рад||    0.027, рад||   57.000, с
 8459.467, км||    3.998, км/с||   -0.054, рад||    0.017, рад||    0.523, рад||    0.027, рад||   58.000, с
 8459.252, км||    3.998, км/с||   -0.054, рад||    0.017, рад||    0.523, рад||    0.028, рад||   59.000, с
 8459.032, км||    3.998, км/с||   -0.055, рад||    0.017, рад||    0.523, рад||    0.028, рад||   60.000, с
 8458.809, км||    3.999, км/с||   -0.056, рад||    0.017, рад||    0.523, рад||    0.029, рад||   61.000, с
 8458.582, км||    3.999, км/с||   -0.057, рад||    0.017, рад||    0.523, рад||    0.029, рад||   62.000, с
 8458.352, км||    3.999, км/с||   -0.058, рад||    0.017, рад||    0.523, рад||    0.030, рад||   63.000, с
 8458.117, км||    4.000, км/с||   -0.059, рад||    0.017, рад||    0.523, рад||    0.030, рад||   64.000, с
 8457.879, км||    4.000, км/с||   -0.060, рад||    0.017, рад||    0.523, рад||    0.031, рад||   65.000, с
 8457.638, км||    4.000, км/с||   -0.061, рад||    0.017, рад||    0.523, рад||    0.031, рад||   66.000, с
 8457.392, км||    4.001, км/с||   -0.062, рад||    0.017, рад||    0.523, рад||    0.032, рад||   67.000, с
 8457.143, км||    4.001, км/с||   -0.063, рад||    0.017, рад||    0.523, рад||    0.032, рад||   68.000, с
 8456.891, км||    4.001, км/с||   -0.064, рад||    0.017, рад||    0.523, рад||    0.033, рад||   69.000, с
 8456.634, км||    4.002, км/с||   -0.065, рад||    0.017, рад||    0.523, рад||    0.033, рад||   70.000, с
 8456.374, км||    4.002, км/с||   -0.065, рад||    0.017, рад||    0.523, рад||    0.033, рад||   71.000, с
 8456.111, км||    4.003, км/с||   -0.066, рад||    0.017, рад||    0.523, рад||    0.034, рад||   72.000, с
 8455.843, км||    4.003, км/с||   -0.067, рад||    0.017, рад||    0.523, рад||    0.034, рад||   73.000, с
 8455.572, км||    4.003, км/с||   -0.068, рад||    0.017, рад||    0.523, рад||    0.035, рад||   74.000, с
 8455.297, км||    4.004, км/с||   -0.069, рад||    0.017, рад||    0.523, рад||    0.035, рад||   75.000, с
 8455.019, км||    4.004, км/с||   -0.070, рад||    0.017, рад||    0.523, рад||    0.036, рад||   76.000, с
 8454.736, км||    4.004, км/с||   -0.071, рад||    0.017, рад||    0.523, рад||    0.036, рад||   77.000, с
 8454.450, км||    4.005, км/с||   -0.072, рад||    0.017, рад||    0.523, рад||    0.037, рад||   78.000, с
 8454.161, км||    4.005, км/с||   -0.073, рад||    0.017, рад||    0.523, рад||    0.037, рад||   79.000, с
 8453.867, км||    4.006, км/с||   -0.074, рад||    0.017, рад||    0.523, рад||    0.038, рад||   80.000, с
 8453.570, км||    4.006, км/с||   -0.075, рад||    0.017, рад||    0.523, рад||    0.038, рад||   81.000, с
 8453.270, км||    4.006, км/с||   -0.076, рад||    0.017, рад||    0.523, рад||    0.039, рад||   82.000, с
 8452.965, км||    4.007, км/с||   -0.077, рад||    0.017, рад||    0.523, рад||    0.039, рад||   83.000, с
 8452.657, км||    4.007, км/с||   -0.077, рад||    0.017, рад||    0.523, рад||    0.040, рад||   84.000, с
 8452.345, км||    4.008, км/с||   -0.078, рад||    0.017, рад||    0.523, рад||    0.040, рад||   85.000, с
 8452.030, км||    4.008, км/с||   -0.079, рад||    0.017, рад||    0.523, рад||    0.041, рад||   86.000, с
 8451.711, км||    4.009, км/с||   -0.080, рад||    0.017, рад||    0.523, рад||    0.041, рад||   87.000, с
 8451.388, км||    4.009, км/с||   -0.081, рад||    0.017, рад||    0.523, рад||    0.042, рад||   88.000, с
 8451.061, км||    4.010, км/с||   -0.082, рад||    0.017, рад||    0.523, рад||    0.042, рад||   89.000, с
 8450.731, км||    4.010, км/с||   -0.083, рад||    0.017, рад||    0.523, рад||    0.042, рад||   90.000, с
 8450.397, км||    4.010, км/с||   -0.084, рад||    0.017, рад||    0.523, рад||    0.043, рад||   91.000, с
 8450.059, км||    4.011, км/с||   -0.085, рад||    0.017, рад||    0.523, рад||    0.043, рад||   92.000, с
 8449.718, км||    4.011, км/с||   -0.086, рад||    0.017, рад||    0.523, рад||    0.044, рад||   93.000, с
 8449.373, км||    4.012, км/с||   -0.087, рад||    0.017, рад||    0.523, рад||    0.044, рад||   94.000, с
 8449.024, км||    4.012, км/с||   -0.087, рад||    0.017, рад||    0.523, рад||    0.045, рад||   95.000, с
 8448.672, км||    4.013, км/с||   -0.088, рад||    0.017, рад||    0.523, рад||    0.045, рад||   96.000, с
 8448.316, км||    4.013, км/с||   -0.089, рад||    0.017, рад||    0.523, рад||    0.046, рад||   97.000, с
 8447.956, км||    4.014, км/с||   -0.090, рад||    0.017, рад||    0.523, рад||    0.046, рад||   98.000, с
 8447.592, км||    4.014, км/с||   -0.091, рад||    0.017, рад||    0.523, рад||    0.047, рад||   99.000, с
 8447.225, км||    4.015, км/с||   -0.092, рад||    0.017, рад||    0.523, рад||    0.047, рад||  100.000, с
 8446.854, км||    4.015, км/с||   -0.093, рад||    0.017, рад||    0.523, рад||    0.048, рад||  101.000, с
 8446.479, км||    4.016, км/с||   -0.094, рад||    0.017, рад||    0.523, рад||    0.048, рад||  102.000, с
 8446.101, км||    4.016, км/с||   -0.095, рад||    0.017, рад||    0.523, рад||    0.049, рад||  103.000, с
 8445.719, км||    4.017, км/с||   -0.096, рад||    0.017, рад||    0.523, рад||    0.049, рад||  104.000, с
 8445.333, км||    4.017, км/с||   -0.097, рад||    0.017, рад||    0.523, рад||    0.050, рад||  105.000, с
 8444.944, км||    4.018, км/с||   -0.098, рад||    0.017, рад||    0.523, рад||    0.050, рад||  106.000, с
 8444.551, км||    4.019, км/с||   -0.098, рад||    0.017, рад||    0.523, рад||    0.051, рад||  107.000, с
 8444.154, км||    4.019, км/с||   -0.099, рад||    0.017, рад||    0.523, рад||    0.051, рад||  108.000, с
 8443.753, км||    4.020, км/с||   -0.100, рад||    0.017, рад||    0.523, рад||    0.051, рад||  109.000, с
 8443.349, км||    4.020, км/с||   -0.101, рад||    0.017, рад||    0.523, рад||    0.052, рад||  110.000, с
 8442.941, км||    4.021, км/с||   -0.102, рад||    0.017, рад||    0.523, рад||    0.052, рад||  111.000, с
 8442.529, км||    4.021, км/с||   -0.103, рад||    0.017, рад||    0.523, рад||    0.053, рад||  112.000, с
 8442.114, км||    4.022, км/с||   -0.104, рад||    0.017, рад||    0.523, рад||    0.053, рад||  113.000, с
 8441.695, км||    4.023, км/с||   -0.105, рад||    0.017, рад||    0.523, рад||    0.054, рад||  114.000, с
 8441.272, км||    4.023, км/с||   -0.106, рад||    0.017, рад||    0.523, рад||    0.054, рад||  115.000, с
 8440.846, км||    4.024, км/с||   -0.107, рад||    0.017, рад||    0.523, рад||    0.055, рад||  116.000, с
 8440.415, км||    4.024, км/с||   -0.108, рад||    0.017, рад||    0.523, рад||    0.055, рад||  117.000, с
 8439.982, км||    4.025, км/с||   -0.108, рад||    0.017, рад||    0.523, рад||    0.056, рад||  118.000, с
 8439.544, км||    4.026, км/с||   -0.109, рад||    0.017, рад||    0.523, рад||    0.056, рад||  119.000, с
 8439.103, км||    4.026, км/с||   -0.110, рад||    0.017, рад||    0.523, рад||    0.057, рад||  120.000, с
 8438.658, км||    4.027, км/с||   -0.111, рад||    0.017, рад||    0.523, рад||    0.057, рад||  121.000, с
 8438.209, км||    4.027, км/с||   -0.112, рад||    0.017, рад||    0.523, рад||    0.058, рад||  122.000, с
 8437.757, км||    4.028, км/с||   -0.113, рад||    0.017, рад||    0.523, рад||    0.058, рад||  123.000, с
 8437.301, км||    4.029, км/с||   -0.114, рад||    0.017, рад||    0.523, рад||    0.059, рад||  124.000, с
 8436.841, км||    4.029, км/с||   -0.115, рад||    0.017, рад||    0.523, рад||    0.059, рад||  125.000, с
 8436.377, км||    4.030, км/с||   -0.116, рад||    0.017, рад||    0.523, рад||    0.060, рад||  126.000, с
 8435.910, км||    4.031, км/с||   -0.117, рад||    0.017, рад||    0.523, рад||    0.060, рад||  127.000, с
