T||dt||ds||dw
  656.000|| 2979.613||-2406.820||-1977.254
  657.000|| 2982.779||-2406.309||-1975.945
  658.000|| 2985.933||-2405.780||-1974.644
  659.000|| 2989.075||-2405.231||-1973.352
  660.000|| 2992.205||-2404.663||-1972.070
  661.000|| 2995.323||-2404.074||-1970.798
  662.000|| 2998.428||-2403.465||-1969.537
  663.000|| 3001.520||-2402.835||-1968.287
  664.000|| 3004.598||-2402.182||-1967.050
  665.000|| 3007.661||-2401.507||-1965.825
  666.000|| 3010.711||-2400.809||-1964.613
  667.000|| 3013.745||-2400.087||-1963.416
  668.000|| 3016.764||-2399.340||-1962.233
  669.000|| 3019.767||-2398.568||-1961.066
  670.000|| 3022.754||-2397.770||-1959.916
  671.000|| 3025.724||-2396.944||-1958.782
  672.000|| 3028.677||-2396.092||-1957.666
  673.000|| 3031.611||-2395.210||-1956.569
  674.000|| 3034.528||-2394.300||-1955.492
  675.000|| 3037.425||-2393.360||-1954.435
  676.000|| 3040.303||-2392.388||-1953.399
  677.000|| 3043.161||-2391.385||-1952.386
  678.000|| 3045.998||-2390.349||-1951.396
  679.000|| 3048.813||-2389.279||-1950.430
  680.000|| 3051.607||-2388.174||-1949.490
  681.000|| 3054.378||-2387.034||-1948.576
  682.000|| 3057.126||-2385.857||-1947.689
  683.000|| 3059.850||-2384.643||-1946.832
  684.000|| 3062.549||-2383.389||-1946.003
  685.000|| 3065.223||-2382.096||-1945.206
  686.000|| 3067.871||-2380.762||-1944.441
  687.000|| 3070.492||-2379.385||-1943.710
  688.000|| 3073.085||-2377.965||-1943.013
  689.000|| 3075.650||-2376.500||-1942.352
  690.000|| 3078.185||-2374.989||-1941.729
  691.000|| 3080.690||-2373.430||-1941.145
  692.000|| 3083.165||-2371.823||-1940.601
  693.000|| 3085.607||-2370.166||-1940.099
  694.000|| 3088.016||-2368.457||-1939.641
  695.000|| 3090.392||-2366.696||-1939.228
  696.000|| 3092.733||-2364.880||-1938.861
  697.000|| 3095.037||-2363.008||-1938.543
  698.000|| 3097.305||-2361.078||-1938.275
  699.000|| 3099.535||-2359.089||-1938.058
  700.000|| 3101.727||-2357.039||-1937.896
  701.000|| 3103.877||-2354.926||-1937.790
  702.000|| 3105.987||-2352.749||-1937.741
  703.000|| 3108.054||-2350.506||-1937.751
  704.000|| 3110.078||-2348.194||-1937.824
  705.000|| 3112.056||-2345.812||-1937.961
  706.000|| 3113.988||-2343.358||-1938.163
  707.000|| 3115.873||-2340.830||-1938.434
  708.000|| 3117.708||-2338.226||-1938.776
  709.000|| 3119.493||-2335.543||-1939.191
  710.000|| 3121.227||-2332.780||-1939.681
  711.000|| 3122.907||-2329.934||-1940.250
  712.000|| 3124.532||-2327.002||-1940.899
  713.000|| 3126.101||-2323.983||-1941.632
  714.000|| 3127.611||-2320.874||-1942.451
  715.000|| 3129.062||-2317.673||-1943.359
  716.000|| 3130.452||-2314.376||-1944.358
  717.000|| 3131.779||-2310.981||-1945.453
  718.000|| 3133.040||-2307.485||-1946.645
  719.000|| 3134.235||-2303.887||-1947.939
  720.000|| 3135.361||-2300.181||-1949.336
  721.000|| 3136.417||-2296.367||-1950.842
  722.000|| 3137.400||-2292.440||-1952.458
  723.000|| 3138.308||-2288.398||-1954.189
  724.000|| 3139.140||-2284.237||-1956.038
  725.000|| 3139.892||-2279.954||-1958.009
  726.000|| 3140.564||-2275.546||-1960.105
  727.000|| 3141.152||-2271.009||-1962.331
  728.000|| 3141.654||-2266.340||-1964.691
  729.000|| 3142.068||-2261.536||-1967.187
  730.000|| 3142.391||-2256.591||-1969.826
  731.000|| 3142.621||-2251.503||-1972.611
  732.000|| 3142.755||-2246.268||-1975.545
  733.000|| 3142.790||-2240.881||-1978.635
  734.000|| 3142.724||-2235.339||-1981.884
  735.000|| 3142.555||-2229.638||-1985.297
  736.000|| 3142.278||-2223.772||-1988.880
  737.000|| 3141.891||-2217.739||-1992.636
  738.000|| 3141.391||-2211.532||-1996.571
  739.000|| 3140.775||-2205.149||-2000.690
  740.000|| 3140.040||-2198.583||-2004.999
  741.000|| 3139.182||-2191.830||-2009.502
  742.000|| 3138.199||-2184.886||-2014.206
  743.000|| 3137.086||-2177.744||-2019.115
  744.000|| 3135.840||-2170.401||-2024.236
  745.000|| 3134.458||-2162.851||-2029.574
  746.000|| 3132.936||-2155.089||-2035.136
  747.000|| 3131.270||-2147.108||-2040.927
  748.000|| 3129.456||-2138.904||-2046.953
  749.000|| 3127.491||-2130.471||-2053.221
  750.000|| 3125.370||-2121.804||-2059.738
  751.000|| 3123.089||-2112.895||-2066.509
  752.000|| 3120.644||-2103.740||-2073.542
  753.000|| 3118.031||-2094.333||-2080.843
  754.000|| 3115.246||-2084.666||-2088.418
  755.000|| 3112.283||-2074.735||-2096.275
  756.000|| 3109.139||-2064.532||-2104.421
  757.000|| 3105.809||-2054.051||-2112.862
  758.000|| 3102.287||-2043.286||-2121.606
  759.000|| 3098.571||-2032.229||-2130.661
  760.000|| 3094.653||-2020.875||-2140.032
  761.000|| 3090.530||-2009.217||-2149.729
  762.000|| 3086.196||-1997.247||-2159.758
    0.000||    0.000||    0.000||    0.000
