R, км||V, км/с||Tet, рад||I, рад||Omega, рад||U, рад||T, с
 8931.086, км||    7.637, км/с||    0.012, рад||    1.396, рад||    0.523, рад||    0.683, рад||   56.000, с
 8931.178, км||    7.637, км/с||    0.012, рад||    1.396, рад||    0.523, рад||    0.684, рад||   57.000, с
 8931.271, км||    7.637, км/с||    0.012, рад||    1.396, рад||    0.523, рад||    0.685, рад||   58.000, с
 8931.366, км||    7.636, км/с||    0.013, рад||    1.396, рад||    0.523, рад||    0.686, рад||   59.000, с
 8931.463, км||    7.636, км/с||    0.013, рад||    1.396, рад||    0.523, рад||    0.687, рад||   60.000, с
 8931.561, км||    7.636, км/с||    0.013, рад||    1.396, рад||    0.523, рад||    0.688, рад||   61.000, с
 8931.661, км||    7.636, км/с||    0.013, рад||    1.396, рад||    0.523, рад||    0.688, рад||   62.000, с
 8931.762, км||    7.636, км/с||    0.013, рад||    1.396, рад||    0.523, рад||    0.689, рад||   63.000, с
 8931.865, км||    7.636, км/с||    0.014, рад||    1.396, рад||    0.523, рад||    0.690, рад||   64.000, с
 8931.969, км||    7.636, км/с||    0.014, рад||    1.396, рад||    0.523, рад||    0.691, рад||   65.000, с
 8932.075, км||    7.636, км/с||    0.014, рад||    1.396, рад||    0.523, рад||    0.692, рад||   66.000, с
 8932.182, км||    7.636, км/с||    0.014, рад||    1.396, рад||    0.523, рад||    0.693, рад||   67.000, с
 8932.291, км||    7.636, км/с||    0.014, рад||    1.396, рад||    0.523, рад||    0.694, рад||   68.000, с
 8932.402, км||    7.636, км/с||    0.015, рад||    1.396, рад||    0.523, рад||    0.694, рад||   69.000, с
 8932.514, км||    7.636, км/с||    0.015, рад||    1.396, рад||    0.523, рад||    0.695, рад||   70.000, с
 8932.627, км||    7.636, км/с||    0.015, рад||    1.396, рад||    0.523, рад||    0.696, рад||   71.000, с
 8932.742, км||    7.636, км/с||    0.015, рад||    1.396, рад||    0.523, рад||    0.697, рад||   72.000, с
 8932.859, км||    7.635, км/с||    0.015, рад||    1.396, рад||    0.523, рад||    0.698, рад||   73.000, с
 8932.977, км||    7.635, км/с||    0.016, рад||    1.396, рад||    0.523, рад||    0.699, рад||   74.000, с
 8933.096, км||    7.635, км/с||    0.016, рад||    1.396, рад||    0.523, рад||    0.700, рад||   75.000, с
 8933.217, км||    7.635, км/с||    0.016, рад||    1.396, рад||    0.523, рад||    0.700, рад||   76.000, с
 8933.340, км||    7.635, км/с||    0.016, рад||    1.396, рад||    0.523, рад||    0.701, рад||   77.000, с
 8933.464, км||    7.635, км/с||    0.016, рад||    1.396, рад||    0.523, рад||    0.702, рад||   78.000, с
 8933.590, км||    7.635, км/с||    0.017, рад||    1.396, рад||    0.523, рад||    0.703, рад||   79.000, с
 8933.717, км||    7.635, км/с||    0.017, рад||    1.396, рад||    0.523, рад||    0.704, рад||   80.000, с
 8933.846, км||    7.635, км/с||    0.017, рад||    1.396, рад||    0.523, рад||    0.705, рад||   81.000, с
 8933.976, км||    7.635, км/с||    0.017, рад||    1.396, рад||    0.523, рад||    0.706, рад||   82.000, с
 8934.108, км||    7.635, км/с||    0.017, рад||    1.396, рад||    0.523, рад||    0.706, рад||   83.000, с
 8934.241, км||    7.634, км/с||    0.018, рад||    1.396, рад||    0.523, рад||    0.707, рад||   84.000, с
 8934.376, км||    7.634, км/с||    0.018, рад||    1.396, рад||    0.523, рад||    0.708, рад||   85.000, с
 8934.513, км||    7.634, км/с||    0.018, рад||    1.396, рад||    0.523, рад||    0.709, рад||   86.000, с
 8934.651, км||    7.634, км/с||    0.018, рад||    1.396, рад||    0.523, рад||    0.710, рад||   87.000, с
 8934.790, км||    7.634, км/с||    0.018, рад||    1.396, рад||    0.523, рад||    0.711, рад||   88.000, с
 8934.931, км||    7.634, км/с||    0.019, рад||    1.396, рад||    0.523, рад||    0.712, рад||   89.000, с
 8935.074, км||    7.634, км/с||    0.019, рад||    1.396, рад||    0.523, рад||    0.712, рад||   90.000, с
 8935.218, км||    7.634, км/с||    0.019, рад||    1.396, рад||    0.523, рад||    0.713, рад||   91.000, с
 8935.363, км||    7.634, км/с||    0.019, рад||    1.396, рад||    0.523, рад||    0.714, рад||   92.000, с
 8935.510, км||    7.634, км/с||    0.019, рад||    1.396, рад||    0.523, рад||    0.715, рад||   93.000, с
